probe_id,times_selected,mean_importance,median_importance,mean_rank,best_rank,selection_frequency_pct,gene_symbol
217838_s_at,10,0.0005416687,0.0,211.4,45,50.0,EVL
1555270_a_at,10,0.016588088,0.007453327,74.8,13,50.0,WFS1
217465_at,10,0.0,0.0,200.6,65,50.0,NCKAP1
203535_at,10,0.00086598797,0.0,149.7,44,50.0,S100A9
219498_s_at,10,0.00043272926,0.0,133.9,51,50.0,BCL11A
244689_at,9,0.007061456,0.0,103.55555555555556,21,45.0,PPARA
202200_s_at,9,0.0,0.0,155.66666666666666,69,45.0,SRPK1
212660_at,9,0.00088112406,0.0,190.33333333333334,48,45.0,JADE2
206009_at,9,0.0034370879,0.0,137.55555555555554,28,45.0,ITGA9
243748_at,9,0.004796664,0.0,111.0,23,45.0,
201124_at,9,0.00032770677,0.0,161.44444444444446,56,45.0,ITGB5
201114_x_at,9,0.028220765,0.0,94.22222222222223,4,45.0,PSMA7
233445_at,9,0.0115303155,0.010594884,40.333333333333336,22,45.0,
234294_x_at,9,0.0,0.0,163.55555555555554,96,45.0,GATAD2A
206102_at,9,0.0,0.0,178.33333333333334,117,45.0,GINS1
223055_s_at,9,0.0,0.0,140.77777777777777,55,45.0,XPO5
232065_x_at,9,0.0,0.0,185.88888888888889,90,45.0,CENPL
225439_at,9,0.0025464948,0.0,163.11111111111111,26,45.0,NUDCD1
215942_s_at,9,0.0,0.0,212.33333333333334,177,45.0,GTSE1
214700_x_at,9,0.003357271,0.0,188.0,28,45.0,RIF1
213121_at,9,0.00035279413,0.0,198.88888888888889,61,45.0,SNRNP70
217892_s_at,9,0.0029262071,0.0,141.77777777777777,31,45.0,LIMA1
1554696_s_at,9,0.0,0.0,163.0,58,45.0,TYMS
211621_at,9,0.002042626,0.0,215.11111111111111,32,45.0,AR
203628_at,9,0.0034193236,0.0,119.44444444444444,35,45.0,IGF1R
227620_at,9,0.00052019756,0.0,159.88888888888889,56,45.0,SLC44A1
226661_at,9,0.0,0.0,172.11111111111111,92,45.0,CDCA2
209172_s_at,9,0.005584908,0.0,153.77777777777777,15,45.0,CENPF
202808_at,9,0.0034395254,0.0,107.88888888888889,25,45.0,WBP1L
203145_at,9,0.0046979617,0.0,134.33333333333334,27,45.0,SPAG5
218966_at,9,0.0011835835,0.0,87.22222222222223,51,45.0,MYO5C
222077_s_at,9,0.0,0.0,137.88888888888889,49,45.0,RACGAP1
233955_x_at,8,0.028983654,0.016253697,65.875,9,40.0,CXXC5
225912_at,8,0.0,0.0,188.625,98,40.0,TP53INP1
219978_s_at,8,0.0,0.0,132.75,75,40.0,NUSAP1
203928_x_at,8,0.0,0.0,179.125,109,40.0,MAPT
225724_at,8,0.0037924773,0.0,147.75,26,40.0,PSMA3-AS1
204061_at,8,0.0,0.0,206.375,163,40.0,PRKX
225981_at,8,0.002094612,0.0,125.625,36,40.0,HID1
227522_at,8,0.00047191864,0.0,151.75,77,40.0,CMBL
201770_at,8,0.0,0.0,146.375,66,40.0,SNRPA
219197_s_at,8,0.00093175494,0.0,136.75,39,40.0,SCUBE2
212423_at,8,0.0,0.0,243.25,142,40.0,ZCCHC24
204767_s_at,8,0.0,0.0,194.25,104,40.0,FEN1
205819_at,8,0.0,0.0,199.0,123,40.0,MARCO
205355_at,8,0.0,0.0,181.625,118,40.0,ACADSB
204709_s_at,8,0.00081560924,0.0,179.0,37,40.0,KIF23
222891_s_at,8,0.0006669124,0.0,109.5,53,40.0,BCL11A
1557611_at,8,0.0038747117,0.0040789563,98.5,42,40.0,TTLL4
203696_s_at,8,0.0,0.0,196.5,70,40.0,RFC2
219844_at,8,0.0010706697,0.0,125.875,41,40.0,CCDC186
230141_at,8,0.0,0.0,202.0,86,40.0,ARID4A
227376_at,8,0.0,0.0,199.25,63,40.0,GLI3
207132_x_at,7,0.00074575766,0.0,179.71428571428572,50,35.0,PFDN5
224989_at,7,0.0,0.0,174.57142857142858,85,35.0,SMIM14
223229_at,7,0.083451934,0.033957418,25.857142857142858,2,35.0,UBE2T
213260_at,7,0.0,0.0,247.14285714285714,237,35.0,FOXC1
200711_s_at,7,0.005114702,0.0,110.71428571428571,21,35.0,SKP1
200670_at,7,0.0,0.0,175.0,80,35.0,XBP1
232855_at,7,0.0,0.0,135.85714285714286,61,35.0,
212745_s_at,7,0.0009945164,0.0,188.28571428571428,56,35.0,BBS4
212638_s_at,7,0.0007097108,0.0,212.14285714285714,50,35.0,WWP1
215223_s_at,7,0.0006471365,0.0,188.42857142857142,54,35.0,SOD2-OT1
1053_at,7,0.003588489,0.0045236503,57.714285714285715,42,35.0,RFC2
226597_at,7,0.0,0.0,175.42857142857142,103,35.0,REEP6
226752_at,7,0.0,0.0,128.71428571428572,71,35.0,FAM174A
203685_at,7,0.007712744,0.0,136.0,20,35.0,BCL2
208358_s_at,7,0.0,0.0,216.0,122,35.0,UGT8
208079_s_at,7,0.0028748203,0.0,143.0,26,35.0,AURKA
207165_at,7,0.0,0.0,222.85714285714286,120,35.0,HMMR
203571_s_at,7,0.0,0.0,172.42857142857142,74,35.0,ADIRF
208451_s_at,7,0.0,0.0,242.85714285714286,130,35.0,C4B
226980_at,7,0.0020662276,0.0,130.14285714285714,29,35.0,DEPDC1B
226473_at,7,0.0010710349,0.0,123.57142857142857,46,35.0,CBX2
204315_s_at,7,0.0,0.0,193.85714285714286,165,35.0,GTSE1
226302_at,7,0.0,0.0,171.85714285714286,124,35.0,ATP8B1
203967_at,7,0.016088177,0.0071889926,76.28571428571429,14,35.0,CDC6
201508_at,7,0.0013483021,0.0,166.14285714285714,41,35.0,IGFBP4
218518_at,7,0.0007828491,0.0,147.85714285714286,49,35.0,FAM13B
201388_at,7,0.03529031,0.034539163,22.714285714285715,12,35.0,PSMD3
200783_s_at,6,0.00091691106,0.0,185.0,47,30.0,STMN1
1569867_at,6,0.08766788,0.07849482,28.166666666666668,3,30.0,EME2
243074_at,6,0.0,0.0,132.66666666666666,86,30.0,
214769_at,6,0.0,0.0,214.0,173,30.0,CLCN4
202233_s_at,6,0.013201416,0.012628905,126.5,22,30.0,UQCRH
242549_at,6,0.00022364377,0.0,134.33333333333334,63,30.0,PRKD3
226992_at,6,0.0,0.0,176.16666666666666,85,30.0,NOSTRIN
204045_at,6,0.001464218,0.0,135.33333333333334,43,30.0,TCEAL1
203746_s_at,6,0.0,0.0,165.66666666666666,112,30.0,HCCS
203214_x_at,6,0.0,0.0,127.83333333333333,66,30.0,CDK1
202962_at,6,0.0025820832,0.0,103.66666666666667,37,30.0,KIF13B
201394_s_at,6,0.0,0.0,155.0,63,30.0,RBM5
215397_x_at,6,0.0,0.0,205.0,109,30.0,
215086_at,6,0.011220147,0.004258635,117.16666666666667,20,30.0,IBTK
219031_s_at,6,0.0,0.0,179.16666666666666,60,30.0,NIP7
210691_s_at,6,0.0,0.0,256.5,141,30.0,CACYBP
210466_s_at,6,0.011617732,0.0023631041,139.16666666666666,15,30.0,SERBP1
210092_at,6,0.018408494,0.018292008,72.33333333333333,17,30.0,MAGOH
244384_at,6,0.0,0.0,115.0,89,30.0,
201088_at,6,0.0,0.0,127.66666666666667,105,30.0,KPNA2
208788_at,6,0.0037547927,0.0,172.5,35,30.0,ELOVL5
209313_at,6,0.0,0.0,221.16666666666666,132,30.0,GPN1
222680_s_at,6,0.0,0.0,82.33333333333333,57,30.0,DTL
222843_at,6,0.0024130768,0.0,104.33333333333333,37,30.0,FIGNL1
221505_at,6,0.0,0.0,161.0,88,30.0,ANP32E
222087_at,6,0.013998908,0.008849645,47.5,18,30.0,MIR1204
204887_s_at,6,0.0009833536,0.0,161.5,46,30.0,PLK4
225611_at,6,0.0,0.0,150.66666666666666,74,30.0,MAST4
217418_x_at,6,0.0,0.0,200.16666666666666,64,30.0,MS4A1
209842_at,6,0.00350852,0.0,226.5,29,30.0,SOX10
217310_s_at,6,0.0006696815,0.0,169.16666666666666,54,30.0,FOXJ3
218195_at,5,0.0,0.0,157.0,71,25.0,DCPH1
226358_at,5,0.0075343447,0.0,123.8,24,25.0,APH1B
218057_x_at,5,0.0015552271,0.0,144.4,40,25.0,EMC8
201795_at,5,0.0,0.0,151.2,67,25.0,LBR
242870_at,5,0.0,0.0,157.6,103,25.0,
243341_at,5,0.0,0.0,128.0,88,25.0,
202636_at,5,0.001963926,0.0,135.0,42,25.0,RNF103
241494_at,5,0.0,0.0,142.6,84,25.0,
240242_at,5,0.006799663,0.0,114.2,29,25.0,
231002_s_at,5,0.0,0.0,226.4,114,25.0,RABEP1
227982_at,5,0.0,0.0,185.8,131,25.0,SEPSECS
203612_at,5,0.0012354215,0.0,181.0,50,25.0,BYSL
214710_s_at,5,0.0,0.0,183.6,105,25.0,CCNB1
214428_x_at,5,0.0,0.0,236.2,172,25.0,C4B
214858_at,5,0.0684376,0.08771467,28.8,7,25.0,GPC1-AS1
40093_at,5,0.0013886187,0.0,140.2,45,25.0,BCAM
212266_s_at,5,0.008716022,0.0038403547,111.0,26,25.0,SRSF5
211986_at,5,0.0,0.0,247.8,149,25.0,AHNAK
201236_s_at,5,0.006663768,0.0048570014,135.6,34,25.0,BTG2
